,cmp_name,cmp_budget,cmp_spent,user,cmp_remaining_budget
0,20251010_20260713_45-65_GBP,338541,196389,"{'username': 'brandy13', 'name': 'Anthony Jacobs', 'email': 'flowersashley@example.com', 'address': 'Unit 7848 Box 3379\nDPO AE 01381', 'age': 53}",142152
1,20251025_20260206_45-55_EUR,809301,745425,"{'username': 'brandy13', 'name': 'Anthony Jacobs', 'email': 'flowersashley@example.com', 'address': 'Unit 7848 Box 3379\nDPO AE 01381', 'age': 53}",63876
2,20250407_20260914_35-55_EUR,546383,371465,"{'username': 'brandy13', 'name': 'Anthony Jacobs', 'email': 'flowersashley@example.com', 'address': 'Unit 7848 Box 3379\nDPO AE 01381', 'age': 53}",174918
3,20260121_20270721_35-50_GBP,705437,696423,"{'username': 'jorge64', 'name': 'Henry Sexton', 'email': 'gomezpatrick@example.com', 'address': '45179 Tiffany Mill\nSouth Mark, HI 64775', 'age': 36}",9014
4,20251108_20270717_25-45_USD,908558,439466,"{'username': 'jorge64', 'name': 'Henry Sexton', 'email': 'gomezpatrick@example.com', 'address': '45179 Tiffany Mill\nSouth Mark, HI 64775', 'age': 36}",469092
5,20251127_20270929_35-55_USD,428808,187314,"{'username': 'jorge64', 'name': 'Henry Sexton', 'email': 'gomezpatrick@example.com', 'address': '45179 Tiffany Mill\nSouth Mark, HI 64775', 'age': 36}",241494
6,20250115_20260926_35-55_GBP,550371,225118,"{'username': 'jorge64', 'name': 'Henry Sexton', 'email': 'gomezpatrick@example.com', 'address': '45179 Tiffany Mill\nSouth Mark, HI 64775', 'age': 36}",325253
7,20250429_20250725_30-45_GBP,402619,339991,"{'username': 'jorge64', 'name': 'Henry Sexton', 'email': 'gomezpatrick@example.com', 'address': '45179 Tiffany Mill\nSouth Mark, HI 64775', 'age': 36}",62628
8,20260620_20270914_45-60_GBP,949417,780883,"{'username': 'rhernandez', 'name': 'Patricia Carpenter', 'email': 'thomas55@example.org', 'address': '753 Bailey Plains\nNew David, GA 43830', 'age': 49}",168534
9,20250104_20250428_45-55_GBP,672571,299769,"{'username': 'rhernandez', 'name': 'Patricia Carpenter', 'email': 'thomas55@example.org', 'address': '753 Bailey Plains\nNew David, GA 43830', 'age': 49}",372802
10,20250125_20261216_45-65_GBP,88719,68728,"{'username': 'rhernandez', 'name': 'Patricia Carpenter', 'email': 'thomas55@example.org', 'address': '753 Bailey Plains\nNew David, GA 43830', 'age': 49}",19991
11,20250508_20250907_40-60_EUR,672360,609143,"{'username': 'zcarney', 'name': 'Wesley Lucas', 'email': 'james03@example.net', 'address': 'Unit 9739 Box 4928\nDPO AP 25902', 'age': 56}",63217
12,20241230_20250316_45-60_GBP,526834,519815,"{'username': 'zcarney', 'name': 'Wesley Lucas', 'email': 'james03@example.net', 'address': 'Unit 9739 Box 4928\nDPO AP 25902', 'age': 56}",7019
13,20260124_20260520_25-40_USD,623855,510853,"{'username': 'amyclark', 'name': 'Angelica Osborne', 'email': 'franktran@example.com', 'address': '3460 Middleton Vista\nDarrylstad, LA 01601', 'age': 37}",113002
14,20250529_20260225_30-40_GBP,193947,15580,"{'username': 'amyclark', 'name': 'Angelica Osborne', 'email': 'franktran@example.com', 'address': '3460 Middleton Vista\nDarrylstad, LA 01601', 'age': 37}",178367
15,20260806_20270807_30-50_EUR,361298,170930,"{'username': 'amyclark', 'name': 'Angelica Osborne', 'email': 'franktran@example.com', 'address': '3460 Middleton Vista\nDarrylstad, LA 01601', 'age': 37}",190368
16,20260809_20261206_45-60_GBP,244962,28104,"{'username': 'brittanyrodriguez', 'name': 'Michael Johnson', 'email': 'jennifernelson@example.net', 'address': '960 Matthew Fort Apt. 637\nSimonton, NE 63337', 'age': 57}",216858
17,20250105_20251013_25-40_EUR,647038,629903,"{'username': 'sarahhawkins', 'name': 'Natasha Calhoun', 'email': 'ashley52@example.net', 'address': '31552 Sanchez Ville Apt. 660\nBookerstad, VA 31556', 'age': 30}",17135
18,20250822_20251123_40-60_GBP,873133,342420,"{'username': 'samanthamelendez', 'name': 'Elizabeth Avery', 'email': 'millersarah@example.net', 'address': '8727 Theodore Center Apt. 388\nJoneston, VA 64347', 'age': 57}",530713
19,20260416_20280116_30-50_EUR,703446,12998,"{'username': 'daltonlori', 'name': 'Troy Green', 'email': 'mcclainrachel@example.net', 'address': '054 Dean Flat\nLake Nicholasborough, AK 42744', 'age': 47}",690448
20,20250810_20260407_40-50_EUR,937306,807183,"{'username': 'daltonlori', 'name': 'Troy Green', 'email': 'mcclainrachel@example.net', 'address': '054 Dean Flat\nLake Nicholasborough, AK 42744', 'age': 47}",130123
21,20261113_20270709_40-60_USD,14022,8745,"{'username': 'daltonlori', 'name': 'Troy Green', 'email': 'mcclainrachel@example.net', 'address': '054 Dean Flat\nLake Nicholasborough, AK 42744', 'age': 47}",5277
22,20260727_20280718_40-55_GBP,555856,428309,"{'username': 'daltonlori', 'name': 'Troy Green', 'email': 'mcclainrachel@example.net', 'address': '054 Dean Flat\nLake Nicholasborough, AK 42744', 'age': 47}",127547
23,20251018_20270510_30-50_USD,567173,320381,"{'username': 'daltonlori', 'name': 'Troy Green', 'email': 'mcclainrachel@example.net', 'address': '054 Dean Flat\nLake Nicholasborough, AK 42744', 'age': 47}",246792
24,20250815_20260414_45-50_GBP,422469,111458,"{'username': 'daltonlori', 'name': 'Troy Green', 'email': 'mcclainrachel@example.net', 'address': '054 Dean Flat\nLake Nicholasborough, AK 42744', 'age': 47}",311011
25,20260523_20270622_45-65_USD,726923,480977,"{'username': 'dannymiller', 'name': 'Brittany Green', 'email': 'jeanne61@example.com', 'address': '88448 Adkins Mount Suite 647\nKaylaberg, MI 93560', 'age': 60}",245946
26,20250422_20270109_45-60_USD,459136,318392,"{'username': 'xsmith', 'name': 'Ashley Montgomery', 'email': 'fjohnson@example.org', 'address': '938 Huffman Harbor Apt. 386\nWest Douglasland, MN 61104', 'age': 55}",140744
27,20250511_20261125_40-60_USD,407370,306728,"{'username': 'xsmith', 'name': 'Ashley Montgomery', 'email': 'fjohnson@example.org', 'address': '938 Huffman Harbor Apt. 386\nWest Douglasland, MN 61104', 'age': 55}",100642
28,20260930_20270927_35-55_USD,846642,718853,"{'username': 'xsmith', 'name': 'Ashley Montgomery', 'email': 'fjohnson@example.org', 'address': '938 Huffman Harbor Apt. 386\nWest Douglasland, MN 61104', 'age': 55}",127789
29,20250101_20251106_20-40_GBP,411715,86989,"{'username': 'umiller', 'name': 'James Davis', 'email': 'james49@example.net', 'address': '362 Robert Orchard\nWilliamtown, WA 73752', 'age': 26}",324726
30,20241223_20250125_35-50_USD,344565,324325,"{'username': 'smithmatthew', 'name': 'Nicholas Freeman', 'email': 'hannah78@example.com', 'address': '9265 Howard Cliff Suite 395\nWhitakerport, NY 75810', 'age': 42}",20240
31,20251221_20270619_40-50_GBP,415653,88417,"{'username': 'smithmatthew', 'name': 'Nicholas Freeman', 'email': 'hannah78@example.com', 'address': '9265 Howard Cliff Suite 395\nWhitakerport, NY 75810', 'age': 42}",327236
32,20250404_20261201_35-50_EUR,320915,99373,"{'username': 'smithmatthew', 'name': 'Nicholas Freeman', 'email': 'hannah78@example.com', 'address': '9265 Howard Cliff Suite 395\nWhitakerport, NY 75810', 'age': 42}",221542
33,20260320_20270908_20-30_USD,610912,262010,"{'username': 'ekennedy', 'name': 'Tammy Hogan', 'email': 'dillonkaren@example.org', 'address': '05306 Alan Brooks Suite 150\nOrtizview, MH 19913', 'age': 20}",348902
34,20250316_20260502_20-35_USD,767182,745865,"{'username': 'ekennedy', 'name': 'Tammy Hogan', 'email': 'dillonkaren@example.org', 'address': '05306 Alan Brooks Suite 150\nOrtizview, MH 19913', 'age': 20}",21317
35,20260823_20270830_20-35_GBP,998867,347339,"{'username': 'nicolejones', 'name': 'Anthony Harris', 'email': 'gutierrezemily@example.com', 'address': '3642 Sherry Plains\nSouth Randyfort, MA 09159', 'age': 32}",651528
36,20250601_20270302_20-40_EUR,684182,328839,"{'username': 'nicolejones', 'name': 'Anthony Harris', 'email': 'gutierrezemily@example.com', 'address': '3642 Sherry Plains\nSouth Randyfort, MA 09159', 'age': 32}",355343
37,20250814_20251210_25-45_USD,387199,220334,"{'username': 'nicolejones', 'name': 'Anthony Harris', 'email': 'gutierrezemily@example.com', 'address': '3642 Sherry Plains\nSouth Randyfort, MA 09159', 'age': 32}",166865
38,20250728_20251202_30-45_EUR,17582,7717,"{'username': 'jonesrobert', 'name': 'Gilbert Jimenez', 'email': 'william12@example.net', 'address': '63423 Barron Common Suite 442\nHillhaven, IA 13347', 'age': 32}",9865
39,20260427_20270705_25-35_EUR,141152,79932,"{'username': 'jonesrobert', 'name': 'Gilbert Jimenez', 'email': 'william12@example.net', 'address': '63423 Barron Common Suite 442\nHillhaven, IA 13347', 'age': 32}",61220
40,20250711_20270706_45-65_USD,677677,350288,"{'username': 'kristin18', 'name': 'Maria Bowman', 'email': 'erika93@example.com', 'address': '715 Meghan Ford Suite 510\nPort Markfurt, NM 05135', 'age': 54}",327389
41,20260228_20270521_40-60_USD,101865,32408,"{'username': 'kristin18', 'name': 'Maria Bowman', 'email': 'erika93@example.com', 'address': '715 Meghan Ford Suite 510\nPort Markfurt, NM 05135', 'age': 54}",69457
42,20251011_20261224_20-25_GBP,365539,206782,"{'username': 'lowerobert', 'name': 'Kara Vincent', 'email': 'eric07@example.net', 'address': '53647 James Squares\nTracyfurt, TN 41346', 'age': 20}",158757
43,20261025_20270918_20-40_USD,596317,468854,"{'username': 'daisypetersen', 'name': 'Michael Ramirez', 'email': 'elizabethkim@example.com', 'address': '684 Miller Forge Suite 655\nNorth Lauren, ID 91010', 'age': 29}",127463
44,20251109_20270514_35-55_EUR,920634,181895,"{'username': 'debbie18', 'name': 'Stephanie Anderson', 'email': 'gracelogan@example.org', 'address': '33030 Johnson Turnpike Apt. 683\nSouth Jessicaside, PA 83453', 'age': 37}",738739
45,20250129_20261021_25-40_GBP,585681,55492,"{'username': 'debbie18', 'name': 'Stephanie Anderson', 'email': 'gracelogan@example.org', 'address': '33030 Johnson Turnpike Apt. 683\nSouth Jessicaside, PA 83453', 'age': 37}",530189
46,20260512_20270905_30-50_GBP,786124,746051,"{'username': 'debbie18', 'name': 'Stephanie Anderson', 'email': 'gracelogan@example.org', 'address': '33030 Johnson Turnpike Apt. 683\nSouth Jessicaside, PA 83453', 'age': 37}",40073
47,20250630_20270514_30-45_EUR,730370,627694,"{'username': 'debbie18', 'name': 'Stephanie Anderson', 'email': 'gracelogan@example.org', 'address': '33030 Johnson Turnpike Apt. 683\nSouth Jessicaside, PA 83453', 'age': 37}",102676
48,20260424_20260713_25-45_USD,292082,145161,"{'username': 'debbie18', 'name': 'Stephanie Anderson', 'email': 'gracelogan@example.org', 'address': '33030 Johnson Turnpike Apt. 683\nSouth Jessicaside, PA 83453', 'age': 37}",146921
49,20260512_20271214_25-40_GBP,732491,290987,"{'username': 'anthony38', 'name': 'Ryan Joyce', 'email': 'lindaromero@example.net', 'address': 'Unit 6602 Box 7729\nDPO AP 59642', 'age': 34}",441504
50,20251123_20270524_30-45_EUR,614729,609408,"{'username': 'anthony38', 'name': 'Ryan Joyce', 'email': 'lindaromero@example.net', 'address': 'Unit 6602 Box 7729\nDPO AP 59642', 'age': 34}",5321
51,20250722_20260411_30-45_GBP,694813,579926,"{'username': 'anthony38', 'name': 'Ryan Joyce', 'email': 'lindaromero@example.net', 'address': 'Unit 6602 Box 7729\nDPO AP 59642', 'age': 34}",114887
52,20260730_20280327_30-45_EUR,444747,175524,"{'username': 'anthony38', 'name': 'Ryan Joyce', 'email': 'lindaromero@example.net', 'address': 'Unit 6602 Box 7729\nDPO AP 59642', 'age': 34}",269223
53,20250829_20270607_30-45_USD,698259,171429,"{'username': 'anthony38', 'name': 'Ryan Joyce', 'email': 'lindaromero@example.net', 'address': 'Unit 6602 Box 7729\nDPO AP 59642', 'age': 34}",526830
54,20261113_20270108_25-40_GBP,392505,71257,"{'username': 'anthony38', 'name': 'Ryan Joyce', 'email': 'lindaromero@example.net', 'address': 'Unit 6602 Box 7729\nDPO AP 59642', 'age': 34}",321248
55,20250405_20261201_20-40_USD,913456,317268,"{'username': 'jennifer20', 'name': 'Julie Fisher', 'email': 'emilyhughes@example.org', 'address': '036 Brian Parks Apt. 174\nNew Kenneth, SD 96844', 'age': 29}",596188
56,20260201_20280120_25-45_USD,489038,196922,"{'username': 'jennifer20', 'name': 'Julie Fisher', 'email': 'emilyhughes@example.org', 'address': '036 Brian Parks Apt. 174\nNew Kenneth, SD 96844', 'age': 29}",292116
57,20250315_20260111_20-35_USD,643523,26867,"{'username': 'jennifer20', 'name': 'Julie Fisher', 'email': 'emilyhughes@example.org', 'address': '036 Brian Parks Apt. 174\nNew Kenneth, SD 96844', 'age': 29}",616656
58,20260806_20271016_25-35_USD,140495,132926,"{'username': 'james62', 'name': 'Gina Figueroa', 'email': 'yodonnell@example.org', 'address': '51050 Nguyen Spur Suite 812\nEast Caroline, PW 48114', 'age': 28}",7569
59,20251120_20260228_25-40_USD,643599,273952,"{'username': 'james62', 'name': 'Gina Figueroa', 'email': 'yodonnell@example.org', 'address': '51050 Nguyen Spur Suite 812\nEast Caroline, PW 48114', 'age': 28}",369647
60,20260116_20260524_25-35_EUR,549898,445284,"{'username': 'james62', 'name': 'Gina Figueroa', 'email': 'yodonnell@example.org', 'address': '51050 Nguyen Spur Suite 812\nEast Caroline, PW 48114', 'age': 28}",104614
61,20250320_20251031_35-55_GBP,58605,18573,"{'username': 'erikareilly', 'name': 'Michelle Washington', 'email': 'judith12@example.net', 'address': '05254 Aaron Forest\nJennifermouth, CA 29286', 'age': 50}",40032
62,20251117_20270605_45-60_GBP,80524,49855,"{'username': 'erikareilly', 'name': 'Michelle Washington', 'email': 'judith12@example.net', 'address': '05254 Aaron Forest\nJennifermouth, CA 29286', 'age': 50}",30669
63,20260419_20260707_45-60_GBP,77102,47520,"{'username': 'erikareilly', 'name': 'Michelle Washington', 'email': 'judith12@example.net', 'address': '05254 Aaron Forest\nJennifermouth, CA 29286', 'age': 50}",29582
64,20250421_20261116_40-50_EUR,727588,418329,"{'username': 'erikareilly', 'name': 'Michelle Washington', 'email': 'judith12@example.net', 'address': '05254 Aaron Forest\nJennifermouth, CA 29286', 'age': 50}",309259
65,20250509_20261001_40-55_USD,14211,2582,"{'username': 'erikareilly', 'name': 'Michelle Washington', 'email': 'judith12@example.net', 'address': '05254 Aaron Forest\nJennifermouth, CA 29286', 'age': 50}",11629
